doc_title,negative.x,positive.x,net_sentiment,negative.y,positive.y,net_tfidf_sentiment
Text A,256,365,109,0.007217334873123164,0.005000245075497091,-0.002217089797626073
Text B,281,344,63,0.016021018041428067,0.01134461277528149,-0.004676405266146577
